SCHCD,Bldstatus,Clrooms,Clgood,Clmajor,ClMinor,OthGood,OthMajor,OthMinor,Toilet_C,Toiletb,Toilet_g,KITDEVGRANT_YN,MEALSINSCH,CAL_YN,HMRoom_YN,Electric_YN,Bndrywall,library_YN,PGround_YN,Blackboard,BookinLib,Water,MedChk_YN,Ramps_YN,Computer,Tch_Male,Tch_Female,Tch_NR,HeadTch,GradAbove,TchWithProf,DaysInvld,TchInvld
7010301808,2,8,8,0,0,5,0,0,0,3,3,0,0,1,1,1,1,1,1,14,2750,3,1,1,4,2,9,0,0,8,11,0,0
7010302101,1,37,37,0,0,44,0,0,2,16,16,2,0,1,1,1,1,1,2,61,10659,3,1,1,66,9,53,0,0,61,62,0,0
7010302102,1,27,27,0,0,0,0,0,1,16,16,0,0,2,1,1,1,2,2,53,0,3,2,2,0,11,60,0,0,71,71,792,71
7010302103,1,32,32,0,0,13,0,0,0,70,72,0,0,2,2,1,1,1,1,50,38500,4,1,2,50,10,76,0,2,86,86,220,1
7010302104,1,24,24,0,0,0,0,0,0,17,17,0,0,2,1,1,1,1,1,43,11000,3,1,2,38,9,55,0,0,64,64,0,0
7010302105,1,20,20,0,0,10,0,0,1,9,6,0,0,1,1,1,1,1,2,20,5328,3,1,1,10,1,18,0,0,19,19,0,0
7010302106,1,13,13,0,0,9,0,0,0,3,3,2,0,1,1,1,1,1,1,25,6900,3,1,1,22,0,27,0,1,27,27,0,0
7010302107,1,24,24,0,0,52,0,0,0,8,12,0,0,1,2,1,1,1,1,38,5991,4,1,1,43,11,43,0,0,52,54,432,54
7010302108,1,12,12,0,0,15,0,0,0,6,6,0,0,1,1,1,1,1,1,24,12000,3,1,1,30,0,29,0,0,26,29,0,0
7010302109,1,16,16,0,0,6,0,0,0,10,10,0,0,1,1,1,1,1,1,16,4000,3,1,1,25,0,24,0,0,24,24,0,0
7010302110,1,13,13,0,0,13,0,0,0,4,16,0,0,1,1,1,1,1,1,30,8064,3,1,1,24,3,27,0,0,30,30,0,0
