SCHCD,Rural_Urban,Medium_of_Instruction,Distance_BRC,Distance_CRC,Yeur_Estd,Pre_Pry_YN,Residential_Sch_YN,Sch_Management,Lowest_Class,Highest_Class,Sch_Category,Pre_Pry_Students,School_Type,Shift_School_YN,No_of_Working_Days,No_of_Acad_Inspection,Residential_Sch_Type,Pre_Pry_Teachers,Visits_by_BRC,Visits_by_CRC,School_Dev_Grant_Recd,School_Dev_Grant_Expnd,TLM_Grant_Recd,TLM_Grant_Expnd,Funds_from_students_Recd,Funds_from_students_Expnd
070503ND903,2,19,3,8,1965,1,2,5,0,12,3,156,3,2,0,0,2,7,0,5,0,0,0,0,0,0
070507ND101,2,4,0,0,1953,1,2,3,0,8,2,104,2,2,0,0,5,3,0,5,12000,12000,11000,11000,0,0
070507ND102,2,19,7,5,1981,2,2,3,1,12,3,0,3,2,0,0,2,0,0,5,12000,12000,9000,9000,0,0
070507ND105,2,4,5,7,1970,2,2,3,1,5,1,0,3,2,0,0,2,0,0,5,5000,0,7500,7500,0,0
070507ND106,2,4,1,8,1972,2,2,3,1,8,2,0,3,2,0,0,5,0,0,5,12000,12000,10000,7500,0,0
070507ND107,2,19,0,0,1995,2,2,3,1,12,3,0,3,2,0,0,2,0,0,5,12000,12000,11000,11000,0,0
070507ND108,2,4,4,1,1917,1,2,3,0,12,3,11,1,2,0,0,2,1,0,5,12000,12000,9000,9000,0,0
070507ND109,2,4,0,0,1947,2,2,3,6,12,5,0,2,2,0,0,2,0,0,5,7000,7000,12000,7000,0,0
070507ND110,2,4,4,0,1945,1,2,3,0,12,3,15,3,2,0,0,2,1,0,5,12000,12000,18500,15000,0,0
070507ND111,2,4,2,2,1960,2,2,3,1,5,1,0,3,2,0,0,2,0,0,5,5000,5000,5000,5000,0,0
070507ND201,2,4,0,2,1954,1,2,3,0,8,2,36,3,2,0,0,5,1,0,5,12000,12000,11500,9000,0,0
070507ND202,2,4,0,2,1991,1,2,3,0,5,1,29,3,2,0,0,2,1,0,5,0,0,0,0,0,0
070507ND203,2,4,5,1,1977,2,2,3,1,10,6,0,3,2,0,0,2,0,0,5,12000,12000,16500,16500,0,0
070507ND205,2,4,4,3,1992,1,2,3,0,5,1,35,3,2,0,0,2,1,0,5,5000,5000,5000,5000,0,0
070507ND206,2,4,10,3,1974,1,2,3,0,5,1,26,3,2,0,0,2,1,0,5,5000,5000,4000,4000,0,0
070507ND301,2,19,12,6,1995,2,2,3,1,5,1,0,3,2,0,0,2,0,0,5,5000,5000,7000,7000,0,0
070507ND302,2,4,0,4,1955,2,2,3,1,8,2,0,3,2,0,0,5,0,0,5,12000,12000,11500,11500,0,0
070507ND303,2,19,10,5,1995,2,2,3,0,8,2,30,3,2,0,0,5,1,0,5,5000,5000,7000,7000,0,0
070507ND304,2,19,2,3,1957,2,2,3,1,5,1,0,3,2,0,0,2,0,0,5,5000,5000,5000,5000,0,0
070507ND307,2,4,8,5,1979,1,2,3,0,12,3,29,3,2,0,0,2,1,0,5,12000,12000,21000,21000,0,0
070507ND402,2,19,8,8,2005,1,2,3,0,5,1,31,3,2,0,0,2,1,0,5,5000,5000,5000,5000,0,0
070507ND403,2,4,6,3,1968,1,2,3,0,10,6,35,3,2,0,0,2,1,0,5,12000,12000,16500,16500,0,0
070507ND406,2,19,1,1,1983,2,2,3,1,12,3,0,3,2,0,0,2,0,0,5,0,0,0,0,0,0
070507ND408,2,19,5,5,2005,2,2,3,1,5,1,0,3,2,0,0,2,0,0,5,5000,5000,3500,3500,0,0
070507ND410,2,4,5,5,1945,2,2,3,1,10,6,0,3,2,0,0,2,0,0,5,12000,12000,16000,16000,0,0
