SCHCD,Tch_Male,Tch_Female,Tch_NR,HeadTch,GradAbove,TchWithProf,DaysInvld,TchInvld
7010106502,2,74,0,0,73,76,0,0
7010106601,0,44,0,0,44,44,77,17
7010106701,9,17,0,0,26,26,0,0
7010106702,0,43,0,0,41,43,0,0
7010106703,1,56,0,0,50,57,0,0
7010106704,42,5,0,0,47,47,0,0
7010106705,1,39,0,0,39,40,12,3
7010106706,31,1,0,0,32,32,0,0
7010106707,22,0,0,0,21,22,0,0
7010106801,0,34,0,0,34,34,0,0
7010106802,1,60,0,0,56,61,0,0
7010106803,1,58,0,0,53,59,154,33
7010106804,27,0,0,0,27,27,540,9
7010106805,24,2,0,0,26,26,380,4
7010106806,21,1,0,0,21,22,204,17
7010106807,35,4,0,0,38,39,57,12
7010107001,29,5,0,0,34,34,0,0
7010107002,14,8,0,0,22,22,0,0
7010107101,3,38,0,0,37,41,0,0
7010107102,23,0,0,0,23,23,3893,17
7010107201,35,0,0,0,35,35,0,0
7010107202,0,29,0,0,29,29,35,7
7010107203,0,33,0,0,33,33,80,26
7010107204,1,56,0,0,53,57,0,0
7010107205,31,1,0,0,32,32,0,0
7010107206,36,1,0,0,37,37,0,0
7010107207,43,21,0,0,62,64,0,0
7010201301,25,6,0,0,31,31,0,0
7010201302,0,64,0,0,63,64,0,0
7010201701,11,1,0,0,12,12,0,0
7010201801,17,0,0,0,17,17,0,0
7010202601,12,3,0,0,13,15,0,0
7010202801,4,5,0,0,9,9,0,0
7010202902,16,0,0,0,16,16,105,13
7010204001,27,20,0,0,47,47,0,0
7010206701,0,21,0,0,21,21,0,0
7010300101,10,41,0,0,51,51,0,0
7010300102,11,26,0,0,37,37,0,0
7010300103,2,22,0,0,21,24,0,0
7010300104,2,14,0,0,14,16,0,0
7010300105,19,29,0,0,47,48,10560,48
7010300201,0,16,0,0,14,16,381,16
7010300202,2,9,0,0,11,11,0,0
7010300203,2,16,0,0,18,18,0,0
7010300204,4,14,0,0,18,18,0,0
7010300302,1,8,0,0,9,9,0,0
7010300303,2,29,0,0,27,31,0,0
7010300304,2,8,0,0,8,10,0,0
7010300305,0,6,0,1,4,6,0,0
7010300306,11,59,0,0,69,70,2179,45
7010300307,4,21,0,0,25,25,143,25
7010300308,0,26,0,0,21,26,0,0
7010300309,25,25,0,1,49,50,1223,42
7010300310,6,19,0,0,22,25,0,0
7010300311,1,11,0,0,6,12,0,0
7010300312,4,15,0,0,18,19,0,0
7010300313,5,10,0,0,13,15,42,14
7010300314,1,13,0,0,14,14,0,0
7010300401,7,16,0,0,20,23,0,0
7010300402,13,41,0,1,54,54,0,0
7010300403,2,12,0,0,6,14,37,14
7010300404,6,6,0,0,11,12,0,0
7010300405,6,8,0,0,12,14,120,14
7010300406,8,16,0,0,16,24,1200,24
7010300407,2,7,0,0,8,9,0,0
7010300501,0,12,0,1,6,12,0,0
7010301101,3,41,0,0,42,44,0,0
7010301201,0,9,0,1,8,9,0,0
7010301202,1,43,0,0,44,44,858,42
7010301203,1,12,0,0,12,13,0,0
7010301301,14,67,0,2,79,81,0,0
7010301401,0,18,0,1,18,18,0,0
7010301402,0,28,0,0,28,28,0,0
7010301403,0,9,0,1,8,9,23,8
7010301404,1,47,0,0,47,48,0,0
7010301405,3,8,0,1,8,11,0,0
7010301501,1,18,0,0,19,19,0,0
7010301701,0,9,0,1,7,9,0,0
7010301702,0,11,0,1,7,11,1370,10
7010301703,0,13,0,1,13,13,0,0
7010301704,1,14,0,0,14,15,0,0
7010301801,3,6,0,1,7,9,0,0
7010301802,3,6,0,0,6,9,0,0
7010301803,1,8,0,1,6,9,0,0
7010301804,1,13,0,0,13,14,0,0
7010301805,3,25,0,0,27,28,0,0
7010301806,5,8,0,0,12,13,0,0
7010301807,4,7,0,1,11,11,0,0
7010301808,2,9,0,0,8,11,0,0
7010302101,9,53,0,0,61,62,0,0
7010302102,11,60,0,0,71,71,792,71
7010302103,10,76,0,2,86,86,220,1
7010302104,9,55,0,0,64,64,0,0
7010302105,1,18,0,0,19,19,0,0
7010302106,0,27,0,1,27,27,0,0
7010302107,11,43,0,0,52,54,432,54
7010302108,0,29,0,0,26,29,0,0
7010302109,0,24,0,0,24,24,0,0
7010302110,3,27,0,0,30,30,0,0
7010302111,2,21,0,0,23,23,0,0
7010302112,0,9,0,1,9,9,0,0
7010302113,0,33,0,0,33,33,0,0
7010302114,1,8,0,0,9,9,0,0
7010302201,1,9,0,1,10,10,0,0
7010302202,6,28,0,0,33,34,1164,34
7010302203,3,38,0,0,41,41,430,38
7010302204,1,96,0,2,97,97,0,0
7010302205,3,20,0,0,23,23,0,0
7010302206,2,53,0,0,55,55,0,0
7010302207,5,44,0,0,46,49,1170,48
7010302208,4,106,0,0,110,110,0,0
7010302209,1,57,0,0,58,58,2900,58
7010302302,4,7,0,1,7,11,0,0
7010302303,5,22,0,0,26,27,1000,25
7010302304,4,16,0,0,19,20,324,18
7010302305,5,19,0,0,23,24,0,0
7010302306,1,40,0,0,40,41,0,0
7010302307,5,6,0,0,7,11,31,11
7010302308,0,9,0,1,9,9,0,0
7010302309,3,12,0,0,14,15,0,0
7010302310,3,12,0,0,13,15,0,0
7010302311,2,9,0,1,7,11,0,0
7010302312,1,15,0,1,15,16,48,16
7010302313,3,10,0,0,8,13,0,0
7010302401,2,13,0,0,15,15,0,0
7010302402,2,27,0,1,29,29,0,0
7010302403,0,10,0,1,9,10,0,0
7010302501,2,8,0,1,10,10,0,0
7010302503,2,11,0,0,13,13,0,0
7010302504,14,12,0,0,25,26,0,0
7010302505,2,26,0,0,28,28,0,0
7010302506,15,103,0,0,118,118,775,118
7010302507,6,9,0,0,15,15,0,0
7010302508,3,17,0,0,15,20,0,0
7010302509,4,115,0,0,119,119,0,0
7010302510,5,55,0,2,60,60,0,0
7010302511,3,16,0,0,19,19,0,0
7010302601,12,51,0,1,62,63,0,0
7010302602,0,9,0,0,9,9,0,0
7010302603,1,16,0,0,16,17,0,0
7010302604,0,12,0,1,12,12,0,0
7010302605,0,10,0,0,7,10,0,0
7010302606,14,76,0,1,90,90,0,0
7010302701,3,18,0,0,16,21,0,0
7010302702,4,9,0,1,11,13,0,0
7010302703,3,12,0,0,12,15,310,15
7010302704,7,5,0,1,10,12,36,12
7010302705,14,24,0,0,37,38,3,1
7010302706,9,29,0,0,35,38,0,0
7010302707,4,12,0,0,12,16,0,0
7010302708,6,10,0,0,16,16,115,15
7010302709,3,4,0,0,7,7,0,0
7010302710,7,9,0,0,11,16,0,0
7010302711,2,13,0,1,12,15,0,0
7010302712,5,5,0,1,10,10,0,0
7010302713,5,12,0,0,9,17,144,16
7010302802,1,14,0,0,15,15,0,0
7010302804,3,26,0,0,29,29,10,1
7010302805,4,11,0,0,13,15,80,15
7010302806,8,40,0,0,47,48,720,48
7010302807,25,28,0,0,48,53,0,0
7010302808,8,27,0,0,31,35,0,0
7010302809,3,12,0,0,13,15,0,0
7010302810,3,7,0,1,9,10,0,0
7010302811,0,10,0,1,10,10,0,0
7010302812,6,9,0,0,15,15,0,0
7010302901,4,25,0,0,16,29,0,0
7010302903,6,14,0,1,9,20,0,0
7010302904,11,15,0,0,21,26,0,0
7010302905,3,13,0,0,14,16,0,0
7010302907,3,27,0,0,30,30,0,0
7010302908,5,10,0,0,15,15,304,15
7010302909,2,21,0,0,21,23,0,0
7010302910,6,5,0,0,6,11,0,0
7010302913,2,32,0,0,21,34,0,0
7010302914,5,7,0,0,5,12,36,12
7010303001,9,25,0,0,32,34,465,31
7010303002,6,23,0,0,29,29,87,11
7010303003,7,21,0,0,28,28,0,0
7010303004,5,7,0,1,12,12,275,11
7010303005,1,10,0,1,11,11,0,0
7010303006,0,11,0,1,11,11,220,11
7010303007,4,13,0,0,17,17,0,0
7010303008,0,12,0,1,11,12,49,12
7010303009,6,6,0,0,12,12,0,0
7010303010,4,9,0,0,9,13,0,0
7010303011,3,12,0,0,15,15,0,0
7010303012,4,6,0,1,5,10,0,0
7010303013,5,41,0,0,34,46,0,0
7010303301,5,22,0,0,26,27,243,27
7010303302,5,11,0,0,13,16,58,12
7010303401,6,13,0,0,18,19,0,0
7010303402,5,7,0,1,11,12,59,12
7010303403,5,13,0,0,14,18,205,10
7010303404,10,23,0,0,29,33,99,33
7010303405,5,14,0,0,17,19,0,0
7010303501,4,8,0,1,12,12,0,0
7010303502,0,12,0,1,12,12,0,0
7010303503,4,15,0,1,17,19,168,15
7010303601,5,8,0,1,6,13,0,0
7010303801,3,17,0,0,17,20,53,20
7010303901,12,24,0,0,35,36,432,36
7010304001,6,6,0,1,11,12,0,0
7010304002,5,10,0,0,10,15,0,0
7010304003,9,3,0,1,12,12,0,0
7010304501,2,23,0,1,23,25,0,0
7010304502,1,8,0,1,8,9,114,9
7010304503,11,104,0,0,114,115,0,0
7010304504,5,50,0,0,55,55,0,0
7010304505,15,43,0,1,54,58,2842,58
7010304506,1,10,0,1,11,11,0,0
7010304507,14,58,0,0,71,72,0,0
7010304508,5,25,0,0,30,30,50,2
7010304509,3,70,0,0,72,73,0,0
7010304901,4,68,0,0,69,72,334,72
7010304902,10,57,0,0,65,67,0,0
7010304903,1,12,0,0,13,13,365,1
7010304904,0,8,0,1,8,8,0,0
7010304905,6,23,0,0,29,29,0,0
7010305001,3,141,0,1,144,144,0,0
7010305002,6,45,0,0,51,51,0,0
7010305003,2,47,0,0,49,49,4,1
7010305101,1,36,0,0,37,37,0,0
7010305102,17,103,0,0,119,120,0,0
7010305103,2,14,0,0,16,16,0,0
7010305201,0,9,0,1,9,9,0,0
7010305202,1,16,0,0,17,17,0,0
7010305301,6,103,0,1,109,109,215,1
7010305302,16,37,0,0,53,53,0,0
7010305303,0,14,0,0,14,14,90,1
7010305304,5,29,0,1,32,34,5,1
7010305305,0,8,0,0,7,8,0,0
7010305401,4,71,0,2,69,75,0,0
7010305402,4,29,0,0,33,33,117,33
7010305404,0,38,0,0,37,38,370,37
7010305405,11,156,0,0,161,167,0,0
7010305406,16,71,0,1,82,87,0,0
7010305407,11,68,0,2,79,79,269,78
7010305408,9,35,0,0,43,44,129,43
7010305409,0,27,0,0,27,27,0,0
7010305410,1,37,0,0,38,38,0,0
7010305411,0,10,0,1,10,10,0,0
7010305412,0,7,0,1,7,7,0,0
7010305413,8,72,0,0,79,80,1990,77
7010305415,2,27,0,0,29,29,0,0
7010305501,3,28,0,0,30,31,0,0
7010305502,9,77,0,1,81,86,0,0
7010305503,1,13,0,0,14,14,238,13
